epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,7279.59,1.04983,1.15358,1.19121,0.80662,0.48859,0.59709,0.41391,0.95043,0.99815,1.15602,0.00687222,0.00687222,0.00687222
40,7400.55,1.05079,1.15985,1.18359,0.74803,0.53379,0.6052,0.42505,0.93874,0.98137,1.13679,0.00672675,0.00672675,0.00672675
41,7519.21,1.04952,1.1674,1.17949,0.75419,0.52512,0.59463,0.42055,0.95781,1.01434,1.1474,0.00657963,0.00657963,0.00657963
42,7645.15,1.01159,1.12408,1.16535,0.77623,0.53108,0.60898,0.42579,0.95346,0.99366,1.13023,0.00643101,0.00643101,0.00643101
43,7772.03,1.00895,1.05259,1.16195,0.70963,0.55081,0.60201,0.42552,0.93554,1.02051,1.14034,0.00628101,0.00628101,0.00628101
44,7894.13,0.99447,1.05987,1.15654,0.79506,0.5425,0.62332,0.44147,0.89984,0.91525,1.11357,0.00612981,0.00612981,0.00612981
45,8147.39,0.9909,1.06297,1.14925,0.71177,0.55224,0.6051,0.42266,0.94398,0.96158,1.13881,0.00597754,0.00597754,0.00597754
46,8395.18,0.9916,1.04132,1.13742,0.77152,0.5416,0.62007,0.44469,0.88257,0.95455,1.10189,0.00582435,0.00582435,0.00582435
47,8682.05,0.96544,1.01121,1.13328,0.76243,0.56109,0.63265,0.44843,0.88201,0.88774,1.10092,0.0056704,0.0056704,0.0056704
48,8934.69,0.95334,1.01665,1.12788,0.7911,0.55611,0.63215,0.44973,0.88553,0.92896,1.10166,0.00551584,0.00551584,0.00551584
49,9198.86,0.95931,1.01362,1.13304,0.77097,0.53496,0.61838,0.4412,0.88914,0.91669,1.10596,0.00536081,0.00536081,0.00536081
50,9613.99,0.96709,0.99771,1.1321,0.80913,0.53565,0.62701,0.46203,0.85734,0.87427,1.08292,0.00520548,0.00520548,0.00520548
51,9982.92,0.95561,1.00387,1.12614,0.7475,0.59796,0.63972,0.46591,0.85293,0.84981,1.08162,0.00505,0.00505,0.00505
52,10421.4,0.9332,0.96646,1.11068,0.83698,0.55954,0.65516,0.46865,0.84307,0.84407,1.07493,0.00489452,0.00489452,0.00489452
53,10833,0.94002,0.97343,1.11608,0.79,0.55928,0.64513,0.47102,0.87123,0.88434,1.1008,0.00473919,0.00473919,0.00473919
54,11212.1,0.92853,0.96708,1.10323,0.78515,0.54884,0.64131,0.47011,0.82576,0.83374,1.06756,0.00458416,0.00458416,0.00458416
55,11501.2,0.90593,0.92567,1.08609,0.78939,0.59268,0.65709,0.48456,0.81064,0.82602,1.04817,0.0044296,0.0044296,0.0044296
56,11993.1,0.89204,0.9346,1.08919,0.80678,0.57523,0.65578,0.47735,0.81214,0.80236,1.04797,0.00427565,0.00427565,0.00427565
57,12352,0.91019,0.9211,1.0889,0.81798,0.56869,0.65358,0.48203,0.81489,0.83584,1.05903,0.00412246,0.00412246,0.00412246
58,12834.8,0.90338,0.8952,1.09219,0.8289,0.57698,0.65879,0.48781,0.80861,0.82963,1.05194,0.00397019,0.00397019,0.00397019
59,13306.9,0.88427,0.89278,1.08225,0.79964,0.59759,0.66009,0.48764,0.813,0.80912,1.04968,0.00381899,0.00381899,0.00381899
60,13764.3,0.87843,0.898,1.08183,0.82416,0.57302,0.66906,0.48995,0.81432,0.80954,1.05969,0.00366899,0.00366899,0.00366899
61,14025.5,0.85525,0.86401,1.06681,0.85806,0.59357,0.68229,0.49966,0.80218,0.76789,1.03926,0.00352037,0.00352037,0.00352037
62,14260.4,0.86341,0.86295,1.06341,0.8612,0.57445,0.67097,0.50026,0.80104,0.77426,1.04033,0.00337325,0.00337325,0.00337325
63,14523.1,0.85698,0.84413,1.06725,0.8712,0.5803,0.67332,0.49389,0.80535,0.77943,1.04765,0.00322778,0.00322778,0.00322778
64,14774.6,0.8626,0.85428,1.06218,0.84855,0.56571,0.67037,0.49521,0.8162,0.80043,1.04795,0.00308412,0.00308412,0.00308412
65,15064.8,0.84899,0.82818,1.05501,0.82442,0.6088,0.68292,0.49583,0.79411,0.7528,1.03792,0.00294239,0.00294239,0.00294239
66,15254.3,0.8373,0.82771,1.05517,0.79355,0.61492,0.68799,0.51403,0.77296,0.7517,1.03589,0.00280275,0.00280275,0.00280275
67,15477.1,0.81976,0.80084,1.04389,0.87092,0.57836,0.68334,0.51245,0.7802,0.75316,1.03685,0.00266532,0.00266532,0.00266532
68,15775.4,0.81979,0.81174,1.04595,0.87124,0.58888,0.68436,0.51355,0.77708,0.74174,1.03218,0.00253024,0.00253024,0.00253024
69,16024.2,0.82079,0.81055,1.04864,0.80855,0.60812,0.67296,0.50659,0.76757,0.75537,1.02894,0.00239766,0.00239766,0.00239766
70,16269.6,0.80375,0.77878,1.03031,0.77996,0.62683,0.68291,0.51157,0.76476,0.7255,1.02507,0.00226769,0.00226769,0.00226769
71,16517,0.80182,0.78007,1.0374,0.8985,0.58196,0.68718,0.51169,0.75402,0.73102,1.01951,0.00214046,0.00214046,0.00214046
72,16764.9,0.79099,0.78396,1.03516,0.859,0.59104,0.68459,0.51142,0.75249,0.72982,1.01875,0.00201611,0.00201611,0.00201611
73,17023.6,0.77998,0.75466,1.01977,0.84147,0.59483,0.67956,0.51615,0.74406,0.70721,1.01358,0.00189475,0.00189475,0.00189475
74,17267.5,0.78907,0.75625,1.03244,0.88317,0.60441,0.69085,0.52313,0.73459,0.70768,1.00675,0.00177651,0.00177651,0.00177651
75,17516.8,0.79375,0.75746,1.025,0.87897,0.598,0.69525,0.52855,0.73256,0.70763,1.00722,0.00166149,0.00166149,0.00166149
76,17788.1,0.76185,0.72376,1.0134,0.81069,0.60537,0.68195,0.5245,0.72144,0.71573,0.99738,0.00154982,0.00154982,0.00154982
